Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
24-Feb-12,264.5,267.5,258.025,262.25,524.5144271,122686,3517,64350577,26590,21.67,18.95,-4.5,
27-Feb-12,262.55,265.425,255.175,256.65,521.3838206,168412,3530,87807292,67068,39.82,20.5,-11.8,
28-Feb-12,258.5,266.575,256.95,265.1,525.5715309,184347,3282,96887535,89430,48.51,19.25,13.2,
29-Feb-12,266.175,270,257.5,258.9,524.107509,131868,3757,69113009,33634,25.51,25,-14.55,
1-Mar-12,256.525,261.15,253,257.075,516.5262468,344595,3516,177992362,233887,67.87,16.3,1.1,
2-Mar-12,257.625,262.45,254.2,259.15,516.7624291,88542,3322,45755179,17729,20.02,16.5,3.05,
3-Mar-12,260,261,258.525,259.45,519.3265827,6271,199,3256697,3413,54.43,4.95,-1.1,
5-Mar-12,257.675,259.225,252.775,255.65,509.9356518,277226,2394,141367421,53099,19.15,12.9,-4.05,
6-Mar-12,254,260.45,251.5,253.8,510.6090861,119589,2828,61063230,56869,47.55,17.9,-0.4,
7-Mar-12,252.75,259,249,257.65,507.229091,102719,3499,52102065,22402,21.81,20,9.8,
9-Mar-12,261.5,263.625,259.95,261.425,522.6234111,118166,2244,61756318,67659,57.26,7.35,-0.15,
12-Mar-12,266.5,266.5,258.5,259.925,520.2825831,99461,2813,51747826,26225,26.37,16,-13.15,
13-Mar-12,262.5,263.7,260.475,262.4,524.6042534,283065,2494,148497103,200111,70.69,6.45,-0.2,
14-Mar-12,264.5,265,261,263.525,526.2670178,509423,2890,268092523,436061,85.6,8,-1.95,
15-Mar-12,263.5,265,254.725,255.475,515.3776966,134939,3304,69544551,46816,34.69,20.55,-16.05,
16-Mar-12,256,262.15,252.5,253.85,515.6305281,121855,3473,62832158,30546,25.07,19.3,-4.3,
19-Mar-12,254,254.8,247.525,249.325,499.5232952,86284,2398,43100868,33512,38.84,14.55,-9.35,
20-Mar-12,250,254.85,246.6,252.425,504.273884,68058,2246,34319872,13891,20.41,16.5,4.85,
21-Mar-12,251,258.75,251,257.7,512.391847,242832,2856,124425137,165617,68.2,15.5,13.4,
22-Mar-12,256.85,260.75,250,251.3,513.5949143,177086,6013,90950469,59415,33.55,21.5,-11.1,
23-Mar-12,252.95,259.35,251.125,256.925,511.4876217,84018,3133,42974167,21840,25.99,16.45,7.95,
26-Mar-12,258.4,258.4,253,255.275,509.4530101,63120,1881,32156674,15419,24.43,10.8,-6.25,
27-Mar-12,256.15,260.5,255.5,259.025,516.3963513,172337,2731,88994198,104891,60.86,10,5.75,
28-Mar-12,259,259.5,255,256.65,513.7844435,152438,2786,78320273,98681,64.74,9,-4.7,
29-Mar-12,255.05,256.5,253.45,255.35,509.646365,98777,2369,50341339,54322,54.99,6.1,0.6,
30-Mar-12,255.5,261.675,254.85,260.025,518.8976004,999936,2370,518864391,933112,93.32,13.65,9.05,
2-April-2012,259.1,264.2,257.85,263.55,524.7732489,226548,2997,118886330,110052,48.58,12.7,8.9,
3-April-2012,264.95,268.2,260.375,264.9,532.9374389,181007,5971,96465407,94719,52.33,15.65,-0.1,
4-April-2012,263.35,264.325,262,263.3,526.2444993,38495,1232,20257782,12607,32.75,4.65,-0.1,
9-April-2012,262,263.3,260.35,261.475,523.1538383,39132,1215,20472056,14237,36.38,5.9,-1.05,
10-April-2012,261,263.25,258,262.25,520.7744312,59463,1962,30966810,11790,19.83,10.5,2.5,
11-April-2012,259.825,265,258.75,263.125,523.6004376,71298,1926,37331664,15955,22.38,12.5,6.6,
12-April-2012,264.475,267.4,263,265.2,530.9726962,57721,1666,30648275,17866,30.95,8.8,1.45,
13-April-2012,267.5,268.5,262.5,265.125,533.4935449,121454,2127,64794925,63097,51.95,12,-4.75,
16-April-2012,264.5,265.6,262.2,264.8,528.9020659,72171,1570,38171391,27232,37.73,6.8,0.6,
17-April-2012,264.75,267.95,260.75,265.425,529.4905883,174038,3963,92151483,40042,23.01,14.4,1.35,
18-April-2012,267.05,269.925,267.05,268.45,537.3302418,212193,5440,114017716,46370,21.85,5.75,2.8,
19-April-2012,269.5,277.725,268.8,277.1,548.3652933,348572,6952,191144787,184777,53.01,17.85,15.2,
20-April-2012,276.45,278.85,273.125,275.55,553.4129281,215299,4971,119149250,98492,45.75,11.45,-1.8,
23-April-2012,275.55,277.975,271.5,272.45,548.5079386,114630,2478,62875465,45914,40.05,12.95,-6.2,
