Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
24-Oct-13,424.95,425.65,417.55,419.65,421.4626005,103210,3498,43499155,24100,23.35,8.1,-5.3,
25-Oct-13,419.65,421.5,413.65,415.4,416.678912,87135,2748,36307317,35219,40.42,7.85,-4.25,
28-Oct-13,418.1,419.35,410,411.6,412.7712148,48115,1760,19860487,18155,37.73,9.35,-6.5,
29-Oct-13,412.25,418.8,409,417.1,414.7825315,86201,2843,35754669,21911,25.42,9.8,4.85,
30-Oct-13,419.8,420,416.1,418.8,418.2823184,49724,1766,20798670,17567,35.33,3.9,-1,
31-Oct-13,420.45,420.5,412.55,413.95,414.9612525,99929,2678,41466663,47819,47.85,7.95,-6.5,
1-Nov-13,414,418.2,414,416.25,416.4581748,80681,3099,33600262,27689,34.32,4.2,2.25,
3-Nov-13,418,419.95,417.5,418.15,418.5690122,22170,1017,9279675,14688,66.25,2.45,0.15,
5-Nov-13,417,423.45,416,420.6,420.7599093,146049,4695,61451564,53253,36.46,7.45,3.6,
6-Nov-13,421.8,427.6,421,424.55,424.8301808,140414,4297,59652105,39303,27.99,6.6,2.75,
7-Nov-13,424.8,429.4,419.75,421.7,425.2170905,114473,2987,48675876,34752,30.36,9.65,-3.1,
8-Nov-13,422.9,426.2,420.75,423,423.6018983,127588,2598,54046519,70186,55.01,5.45,0.1,
11-Nov-13,423,428,420.25,422.7,424.8123982,116678,3591,49566261,39068,33.48,7.75,-0.3,
12-Nov-13,424,426,418,420.95,423.3908693,62865,2361,26616467,17953,28.56,8,-3.05,
13-Nov-13,419.8,419.8,410.25,412.55,414.3906406,94985,3405,39360895,26832,28.25,9.55,-7.25,
14-Nov-13,410,411.9,400.55,404.1,406.0165736,192415,6068,78123679,57674,29.97,11.35,-5.9,
18-Nov-13,404.85,406.95,401.6,402.35,403.5841113,95439,2833,38517664,43087,45.15,5.35,-2.5,
19-Nov-13,403,405.9,399.5,400.15,401.6496119,149440,3881,60022518,66470,44.48,6.4,-2.85,
20-Nov-13,401,401.45,391.8,392.85,394.9014963,183790,7151,72578946,96208,52.35,9.65,-8.15,
21-Nov-13,393,396,386.5,387.3,390.5755044,161441,5115,63054900,53456,33.11,9.5,-5.7,
22-Nov-13,390,393,383.95,384.8,386.3418779,155342,5012,60015120,63059,40.59,9.05,-5.2,
25-Nov-13,386.1,392.35,385.65,387.3,388.8939703,149826,3723,58266428,69216,46.2,6.7,1.2,
26-Nov-13,390,391.45,384.5,385.95,387.7265568,117465,4652,45544300,41798,35.58,6.95,-4.05,
27-Nov-13,386.5,386.5,381.5,382.1,383.1945115,98241,2534,37645412,35811,36.45,5,-4.4,
28-Nov-13,384.45,385.2,378,380,382.638202,154484,3524,59111480,69813,45.19,7.2,-4.45,
29-Nov-13,383,392.75,382.95,391.1,389.1429711,185464,4912,72172012,58697,31.65,9.8,8.1,
2-Dec-13,392.25,395.8,391,391.6,393.4163487,111116,3156,43714851,41637,37.47,4.8,-0.65,
3-Dec-13,393.3,394,388.1,390.5,390.6943618,54787,2505,21404972,22305,40.71,5.9,-2.8,
4-Dec-13,391,394,387.55,390.05,390.7335769,85124,2606,33260805,32950,38.71,6.45,-0.95,
5-Dec-13,392,394,386.25,387.5,390.4415018,136346,2765,53235137,29801,21.86,7.75,-4.5,
6-Dec-13,387.2,391.35,386.25,388.4,388.6226098,66104,1986,25689509,25573,38.69,5.1,1.2,
9-Dec-13,393,394.9,384.5,385.35,386.6747025,114861,3838,44413843,56316,49.03,10.4,-7.65,
10-Dec-13,386,390.95,386,388,388.3364127,69278,2376,26903170,28532,41.18,4.95,2,
11-Dec-13,387,391.95,386,387.5,388.4007797,61822,1780,24011713,30268,48.96,5.95,0.5,
12-Dec-13,387.5,387.5,380.25,381.1,382.7728821,73671,2197,28199261,38027,51.62,7.25,-6.4,
13-Dec-13,381.1,386,376.25,377.8,377.8485569,176634,4186,66740902,76908,43.54,9.75,-3.3,
16-Dec-13,377,379.9,374,377.15,375.998751,124104,2625,46662949,62647,50.48,5.9,0.15,
17-Dec-13,378,389.35,378,387.8,387.4633083,276343,5667,107072773,156550,56.65,11.35,9.8,
18-Dec-13,388,396.4,385.3,393.05,391.700961,186153,4721,72916309,45051,24.2,11.1,5.05,
19-Dec-13,393.5,402,385,399.55,396.7934303,240529,6790,95440327,88567,36.82,17,6.05,
20-Dec-13,402,403.3,400,401.6,401.8781895,130194,3215,52322129,56171,43.14,3.3,-0.4,
23-Dec-13,403,408.9,400,405.25,405.7273668,130472,3398,52936061,41298,31.65,8.9,2.25,
24-Dec-13,406.8,409.5,398.2,399.7,404.6692613,122175,3751,49440467,51678,42.3,11.3,-7.1,
26-Dec-13,401.9,404.85,396.3,399,400.1214816,115713,3023,46299257,46063,39.81,8.55,-2.9,
27-Dec-13,399,407.55,398.75,404.75,404.1372015,197425,4791,79786787,73278,37.12,8.8,5.75,
30-Dec-13,405.1,407.5,398.8,400.25,401.9550661,218165,5332,87692527,102223,46.86,8.7,-4.85,
31-Dec-13,402,404.15,399.25,400.55,400.8704474,85803,2015,34395887,40968,47.75,4.9,-1.45,
